Date,NGM:BTC.ZERO.SEK,NGM:ETH.ZERO.SEK,NGM:VALOUR.AVALANCHE.AVAX.SEK,NGM:VALOUR.CARDANO.SEK,NGM:VALOUR.POLKADOT.SEK,NGM:VALOUR.UNISWAP.SEK
2021-07-31,0.0,0.0,0.0,4853104.174242706,1599079.6611062929,0.0
2021-08-31,0.0,0.0,0.0,54167540.531006716,20272125.3991533,0.0
2021-09-30,0.0,0.0,0.0,59324162.86726369,50482521.29470238,0.0
2021-10-31,0.0,0.0,0.0,34833254.47639566,34110921.92697789,0.0
2021-11-30,0.0,0.0,0.0,44775403.229611725,44694507.43726432,0.0
2021-12-31,5961638.588630265,9639770.876359887,0.0,20244355.89394173,22162405.728887055,1612816.527240175
2022-01-31,19286924.79091396,22031010.222292162,0.0,22984251.40521934,12283595.12602071,2404410.1249344745
2022-02-28,14155868.007518714,20604042.952411205,117402.15217779497,14395729.554621601,6738335.696143591,847974.8091286661
2022-03-31,13807411.547207156,18349873.667557012,3337624.27970856,13813939.337717822,6854780.885647167,889695.0226496708
2022-04-30,8589487.172274811,10935861.44362425,1698087.1870712931,9364363.673694525,4064101.4538948545,567046.4803308245
2022-05-31,11959116.224422434,10711944.415196637,1177382.001154333,9652124.863726031,4231172.134803691,326218.6253272419
2022-06-30,9361935.630422581,9559750.386838133,757963.394631887,6498115.321203224,1666901.1104128216,238721.55709103204
2022-07-31,5570296.391920456,5967202.430393135,1215088.057265182,4630671.725359597,1884473.6083885876,1001584.8306854344
2022-08-31,5756763.659899525,10949449.761619244,1724839.239298887,6882864.191418496,2974023.6172784055,1680956.005269895
2022-09-30,2752570.578357077,4091284.0458503654,399384.6263077928,1763342.6534513293,643573.4978863217,353776.08855491056
