Date,NGM:BTC.ZERO.SEK,NGM:ETH.ZERO.SEK,NGM:VALOUR.AVALANCHE.AVAX.SEK,NGM:VALOUR.CARDANO.SEK,NGM:VALOUR.POLKADOT.SEK,NGM:VALOUR.UNISWAP.SEK
03.01.22,690832.0869,766865.4014,0,983044.3831,1512283.721,185628.3408
04.01.22,500898.8144,527201.6799,0,480186.5569,689714.285,75135.92964
05.01.22,191389.8099,244728.8501,0,247359.5981,164657.7487,256405.0234
07.01.22,2169506.273,2981512.471,0,1722002.02,1305553.884,296554.4952
10.01.22,2146973.698,2054420.911,0,1941038.384,1151492.585,335589.0233
11.01.22,735545.5505,873240.419,0,399914.2545,450120.5057,334650.7516
12.01.22,1604376.052,1791106.441,0,990513.1547,651608.7031,53030.60349
13.01.22,408647.0847,1404594.614,0,871001.2611,579624.1463,107452.3765
14.01.22,865907.3802,2185368.876,0,493327.9748,496877.7707,74424.95143
17.01.22,315647.7036,360305.0068,0,3670264.463,550591.5833,45173.59505
18.01.22,832165.8448,485652.2599,0,1844075.932,607727.6861,162977.5537
19.01.22,542128.6165,609139.4828,0,1033022.051,343171.4999,34263.91731
20.01.22,445500.3746,282496.8007,0,845835.9956,349874.5501,57666.11754
21.01.22,1719049.343,1752259.585,0,2392561.032,1091724.299,119518.4931
24.01.22,2614547.018,2574694.275,0,2392199.395,1098488.644,141529.8688
25.01.22,1024679.117,891778.8439,0,876993.2176,487534.1123,54840.96157
26.01.22,1088393.238,1233429.76,0,1081190.374,453946.5752,44902.91978
27.01.22,694167.425,572069.6672,0,829919.6308,311354.2862,42748.68881
28.01.22,487339.3087,933947.0241,0,365728.4843,213310.0322,8898.741015
31.01.22,1044778.041,460625.088,0,519796.7828,306088.311,77181.60769
01.02.22,703453.0718,1271244.806,0,893838.2487,438495.0564,129939.8006
02.02.22,566569.6818,1343915.154,0,565736.2351,217580.8656,47283.52703
03.02.22,748830.1139,683143.4641,0,449378.5257,298200.5293,24883.08682
04.02.22,574211.931,537826.9137,0,651067.7183,340756.9713,74219.77984
07.02.22,1192761.206,2535984.977,0,1005125.284,805168.1022,56081.61733
08.02.22,918436.6151,819089.0398,0,644793.4836,423178.0174,54174.80573
09.02.22,602435.7985,718174.5215,0,415504.0327,196705.8641,39015.5374
10.02.22,870803.0683,2111735.919,0,865047.9743,408988.7689,38959.72231
11.02.22,392287.7987,716729.569,0,354531.0255,149647.8977,12092.2769
14.02.22,1019409.827,2308614.638,0,885964.3659,542509.0322,66365.8329
15.02.22,693482.4287,960916.9791,0,582035.0978,290748.8032,54769.31085
16.02.22,449687.8249,776017.284,0,372399.2617,222572.632,55528.29832
17.02.22,708806.9398,603218.6925,0,448165.1349,161436.0802,17122.42861
18.02.22,707844.3775,500750.8974,0,1357714.259,525770.2097,45441.23697
21.02.22,981484.096,1304754.686,0,825040.0511,441180.8952,42559.64339
22.02.22,416063.0643,1347362.501,0,832966.4177,365110.963,9575.667798
23.02.22,591892.6552,390512.6233,0,449172.317,233354.4871,12642.26605
24.02.22,1167685.55,1347923.48,0,1535720.903,482873.1911,25814.95487
25.02.22,722490.463,802435.18,0,877923.1013,222684.4922,23248.82909
28.02.22,740491.8878,416299.7977,122488.2472,1007257.789,263290.9583,54992.14366
01.03.22,1139987.042,1904441.132,237456.2648,1080828.32,462917.6947,45438.27792
02.03.22,763310.0173,968076.1858,112442.8639,561009.161,202256.2571,39337.46186
03.03.22,416515.7765,528752.8002,42659.24708,612254.7986,226081.4707,14312.72354
04.03.22,586687.9969,854086.841,94746.97266,357289.1789,563886.7666,15469.19696
07.03.22,1108497.509,2618049.141,41631.32983,464906.8439,321653.5891,110349.1845
08.03.22,471000.1444,1461629.81,27342.70428,585811.3665,256553.6155,3494.311737
09.03.22,817276.3852,1170149.135,51936.85503,564105.6744,256203.7455,14767.22571
10.03.22,664675.0252,370228.4846,54059.22776,369764.9276,91770.95852,11770.31654
11.03.22,606424.1883,442738.0828,16171.82029,331952.6104,473686.56,9379.076717
14.03.22,1126619.45,381574.5947,42704.61629,198584.5942,235641.0068,4300.399271
15.03.22,160590.2477,248263.0992,24172.42982,167728.4131,140994.2544,4472.909216
16.03.22,410910.1183,783541.1167,38643.05449,289861.2517,242015.4379,6498.631434
17.03.22,238683.0087,1081289.453,252581.0008,277971.2802,329976.0199,6692.417103
18.03.22,247604.7304,1032315.864,126950.2769,216179.3878,161917.6624,14377.40155
21.03.22,213844.0898,291572.3607,814083.3004,584100.8425,309070.0769,40530.49667
22.03.22,793949.1602,514892.9286,304979.9882,495079.0958,360056.5288,52863.60785
23.03.22,298483.6894,245841.6101,170311.9615,991991.5327,240043.0398,14718.13352
24.03.22,555868.2088,420199.7797,85181.33978,1587883.059,488349.2674,62980.71097
25.03.22,723433.5289,746029.3529,108446.0746,1216101.307,328285.5417,86018.84365
28.03.22,748362.4643,1139254.58,200416.7068,1341394.158,627626.0007,61023.40112
29.03.22,1248967.104,1048370.23,181956.4508,485175.7948,295449.828,53637.63002
30.03.22,381499.0701,384450.2034,138461.0606,750968.2607,272906.4271,55595.56156
31.03.22,682387.1555,509079.9517,314881.2634,881444.8404,264401.8948,200210.4633
01.04.22,974840.3552,970871.9942,173390.8637,885440.5719,256906.1294,47962.75637
04.04.22,506220.4745,661783.9224,96815.44759,1715766.733,329606.9427,56570.06901
